sample_id,settlement_a_mm,settlement_b_mm,settlement_c_mm,settlement_d_mm,kv_factor_a,kv_factor_b,kv_factor_c,kv_factor_d,ei_factor_s1,ei_factor_s2,ei_factor_s3,dT_s1_C,dT_s2_C,dT_s3_C,uniform_load_N_per_mm,R_a_kN,R_b_kN,R_c_kN,R_d_kN,sum_R_kN,total_udl_kN,equilibrium_err_kN,has_negative_reaction,v_A_mm,theta_A_rad,v_S1-1_6L_mm,theta_S1-1_6L_rad,v_S1-2_6L_mm,theta_S1-2_6L_rad,v_S1-3_6L_mm,theta_S1-3_6L_rad,v_S1-4_6L_mm,theta_S1-4_6L_rad,v_S1-5_6L_mm,theta_S1-5_6L_rad,v_B_mm,theta_B_rad,v_S2-1_6L_mm,theta_S2-1_6L_rad,v_S2-2_6L_mm,theta_S2-2_6L_rad,v_S2-3_6L_mm,theta_S2-3_6L_rad,v_S2-4_6L_mm,theta_S2-4_6L_rad,v_S2-5_6L_mm,theta_S2-5_6L_rad,v_C_mm,theta_C_rad,v_S3-1_6L_mm,theta_S3-1_6L_rad,v_S3-2_6L_mm,theta_S3-2_6L_rad,v_S3-3_6L_mm,theta_S3-3_6L_rad,v_S3-4_6L_mm,theta_S3-4_6L_rad,v_S3-5_6L_mm,theta_S3-5_6L_rad,v_D_mm,theta_D_rad
0,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,9.51,6.8,8.72,-61.64,1027.0464574125535,2681.174488417351,2651.711650614738,1036.867403423971,7396.799999868614,7396.8,-1.3138651411281899e-07,False,-0.17205733532348202,-0.002227943223522113,-14.884048446303563,-0.001997802695987313,-24.931061828542056,-0.0009224068855932311,-26.55732015839376,0.0004344668390376649,-19.765445413581375,0.0015090669161743015,-8.31646424967194,0.0017376417840693822,0.27019737616366346,0.000556414074052874,-0.026095140105009018,-0.00045724247015805947,-3.8155970857476578,-0.000566058736276067,-6.556333370418196,-0.00021712275338383973,-6.686823385630028,0.00014249791486565096,-5.626085268407118,6.573570483058302e-05,-7.77363163757425,-0.0008944974125676305,-18.538497887326194,-0.002031575068210275,-31.49550402137978,-0.0016540545098073457,-38.585759551802816,-0.0003734650190733855,-35.8271095127055,0.0011986921150053153,-23.314140291975757,0.002450915603471089,-5.218173799300939,0.0027716761646443
1,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,9.47,6.65,4.51,-61.64,1030.1301739885043,2657.470821055762,2689.8678356167843,1019.3311692186271,7396.799999879678,7396.8,-1.2032251106575131e-07,False,-0.17257393907896124,-0.002258019458248741,-15.075039330236947,-0.0020241636526138126,-25.273656617967475,-0.000940822007913428,-26.98444477058281,0.0004282281072298338,-20.181822057766365,0.001519235131084056,-8.598611427047826,0.001768447501903306,0.2739648724466929,0.0006120878510177815,0.4110033240164042,-0.0003866558648767084,-2.920526960449517,-0.0005029927513095875,-5.328207214813345,-0.00018401083736343317,-5.400113154790703,0.0001232223133106661,-4.704819241602312,-2.8360862929830463e-05,-7.791394418273859,-0.001085848395163449,-19.76351935100357,-0.002198052406987421,-33.67497420550588,-0.0017695625036437024,-41.29289715301482,-0.0004119079668428435,-38.46116188681652,0.001263409914425238,-25.10038345398767,0.0026448898512020143,-5.207912423385186,0.0031210025618125274
2,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,9.95,14.5,13.56,-61.64,1050.504438210897,2677.915845065087,2587.854994900544,1080.5247216900389,7396.799999866567,7396.8,-1.3343287719180807e-07,False,-0.17598716502018394,-0.0023681243006000575,-15.845427628533281,-0.0021394927504708896,-26.752676728700987,-0.0010334238722897074,-28.927410173924496,0.0003863049653223264,-22.157702973944975,0.0015559422006400246,-9.990034816319476,0.0019117362719189,0.2707153098036396,0.0008899098104903991,1.705900233705913,-0.00026763233405920674,-1.238108797653259,-0.0004983583576046438,-3.8728310745187686,-0.0002493562892279495,-4.49028036896645,3.2306307425832965e-05,-4.362969198547903,-0.00010043813128406175,-7.743904562616395,-0.0010946776344367012,-19.261493344286794,-0.002068039361334474,-32.0963375936431,-0.0015917694066899025,-38.62265703941134,-0.00027739705221108574,-35.291406932355194,0.0012635764131144352,-22.63028387702238,0.002419649700327168,-5.243719999754016,0.0025792935277498454
3,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,9.04,11.29,9.53,-61.64,1039.428598581278,2674.3443560184537,2628.225491881047,1054.8015533832122,7396.799999863991,7396.8,-1.3600947568193078e-07,False,-0.1741316701305531,-0.0023861867131029922,-15.859538176889293,-0.0021287526449258773,-26.641386412997313,-0.0010090762126008475,-28.650651846215215,0.00040906521525073885,-21.776709245646042,0.0015619200769052004,-9.667338058199034,0.0018857368106158289,0.2712829676053971,0.000816738047713672,1.3879510753264317,-0.00029267153983361855,-1.6068095328002348,-0.0004912005485572224,-4.1307550948888645,-0.00022593700753894126,-4.5821363308799405,5.605151957739975e-05,-4.339702706184102,-9.230253084910106e-05,-7.7626981680190426,-0.0011180871878982612,-19.62205927055091,-0.002140781722092226,-32.999965581953326,-0.0016755658825065702,-40.01544554937782,-0.0003339689508522771,-36.864263142029756,0.0012725077838819385,-23.81892368288816,0.002532363032741087,-5.228668016719933,0.002834067514045349
4,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,9.03,4.37,4.82,-61.64,1020.3093893552617,2671.540664805898,2691.19050199625,1013.7594437109294,7396.799999868339,7396.8,-1.316611815127544e-07,False,-0.17092869896096452,-0.0022300775858701163,-14.843418442855729,-0.0019853583561029037,-24.784547761570508,-0.0009046264390095323,-26.300156635012257,0.00044834079678814694,-19.454484344461537,0.0015097917895560023,-8.070174849054132,0.0017159749775477295,0.271728590472987,0.000503112992092854,-0.2222858165873362,-0.00046622640381652,-3.973430965296673,-0.000548536211918572,-6.558469700547786,-0.00019090446129642653,-6.534659349086542,0.00015960128439982028,-5.439755983153882,5.5913461528889316e-05,-7.792010156792684,-0.0009490559589877629,-19.050132190398955,-0.0021192620909962884,-32.60662729840683,-0.0017404830132563694,-40.17335835485676,-0.00042424800748251863,-37.53892375585548,0.0012179416373357009,-24.56866325128651,0.0025745846322436246,-5.2046521128039975,0.0030341516955647565
5,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,8.49,13.31,12.75,-61.64,1041.0084415789497,2691.1517878335594,2589.871099251478,1074.7686712033446,7396.799999867331,7396.8,-1.3266890164231881e-07,False,-0.1743963354477323,-0.002465251217802456,-16.3111579964349,-0.002184733454929404,-27.383245457484737,-0.001039805938513919,-29.50718492370932,0.0004057539628289483,-22.557901901543392,0.0015881946873714746,-10.16872657525727,0.0019437646733683799,0.26861156929707913,0.0009086865521526984,1.785539260184269,-0.00026120810070263,-1.1455141610931785,-0.0005002177630133012,-3.8089421878440204,-0.0002554304638615961,-4.469632795210605,2.6086233107261532e-05,-4.372972703811361,-0.00010273523574832308,-7.744843116076371,-0.0010889828995081193,-19.27826145533369,-0.0020770553653880726,-32.19845489247226,-0.0016069305608199954,-38.82253923018078,-0.0002901377675118395,-35.54436579318434,0.0012618217255481608,-22.83452725999081,0.002437446629402528,-5.24035183090189,0.0026252076623717612
6,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,7.5,2.58,5.11,-61.64,1007.5146698281535,2694.0027149794296,2684.650560220808,1010.6320548208296,7396.7999998492205,7396.8,-1.5077966963872313e-07,False,-0.16878524641102668,-0.0023085018363644674,-15.17960676945736,-0.002011359155732282,-25.1680885224535,-0.0008957568860422048,-26.557091140431822,0.00047452760408097305,-19.52787455980522,0.0015357427529084245,-8.020103394815267,0.0017241369986920308,0.2681584386797191,0.00047593297276096437,-0.4351032224331055,-0.0005000676340682626,-4.40484516535291,-0.0005785210932979395,-7.14771316968964,-0.00020651543401010072,-7.150847496886573,0.00016888178014876402,-5.881887153871704,0.00010060298553756663,-7.788965629371005,-0.0008584398469217144,-18.56955340467787,-0.0020658422800847284,-31.880976685638444,-0.0017196056305637702,-39.404072526698535,-0.00043125918006839436,-36.89641350437294,0.0011876957824084773,-24.19231354896351,0.0025257579679122738,-5.202822112550791,0.0029713980947647317
7,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,7.7,5.35,5.37,-61.64,1017.4533926180906,2683.7784331717426,2675.282955462891,1020.2852185996378,7396.799999852363,7396.8,-1.4763736544409767e-07,False,-0.1704502442769104,-0.002366229292721424,-15.57763819713487,-0.0020702691364336244,-25.92492003786889,-0.0009422144397777466,-27.544256726109086,0.0004541574286243442,-20.52600852284235,0.0015550949070420054,-8.718940366900851,0.0017968464337300598,0.26978350129638096,0.0006156346400195508,0.3444441731007431,-0.0004064443803778857,-3.155600439213542,-0.000531286926732792,-5.739067272303465,-0.00020598102812775055,-5.8951677446726665,0.00012240575178803663,-5.093612020320429,6.805849372607118e-06,-7.7846047450481475,-0.000999868764452157,-19.271381824491748,-0.0021386643021421275,-32.87949807338002,-0.0017381856472321728,-40.38555648005814,-0.00040996208143335153,-37.642895554948595,0.0012345051062606519,-24.581595162271178,0.002583714626892889,-5.208470688017496,0.003026137198788703
8,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,6.89,11.06,10.77,-61.64,1028.3947344389971,2702.63852378259,2604.7387487483634,1061.0279928754858,7396.799999845436,7396.8,-1.545640770928003e-07,False,-0.17228320724073898,-0.0025535210866697283,-16.70340484629196,-0.0022176557073233477,-27.858550732423215,-0.00103468534148602,-29.869612184423218,0.00043161264222636654,-22.726879822407927,0.0016174866820869171,-10.179048944315998,0.001959185216352813,0.26678585033418817,0.0008929308763553228,1.7028520583611646,-0.00026991521757019956,-1.2661594090489858,-0.0005031024077924264,-3.9328159574795793,-0.0002537187233926072,-4.5701794743219075,3.116827199000042e-05,-4.431810592416474,-9.550898528452158e-05,-7.751764426409615,-0.0010808385242959588,-19.353118009935592,-0.002102172392596799,-32.49483094845149,-0.001644861462738643,-39.35770219321597,-0.00032043501642504854,-36.19926621753478,0.0012596056573519767,-23.353798848502223,0.0024837592696357632,-5.232311434998838,0.002740496538748422
9,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,6.49,2.29,2.98,-61.64,1004.140870093768,2692.0833802249513,2698.6106289686795,1001.9651205832363,7396.799999870635,7396.8,-1.2936561688547954e-07,False,-0.16822004608535118,-0.002401937208942179,-15.672420188329781,-0.002066708789215801,-25.9158040392788,-0.0009176493022481785,-27.352089046079605,0.0004814638833388745,-20.19339195721703,0.0015668792058193702,-8.410234199010455,0.001774845103444458,0.2684635006114059,0.0005415842075448487,-0.038265525877003104,-0.0004477188549294473,-3.719353401097854,-0.0005452334285916683,-6.319836963244617,-0.00019804754252401762,-6.365247532345278,0.00014677123962695285,-5.361615173912478,4.215535422008617e-05,-7.795464435258087,-0.0009589832278228699,-19.205956708508033,-0.002152120701872621,-33.00919382612328,-0.0017787218130791251,-40.80003097482062,-0.0004503158431507215,-38.25005886336999,0.0012215959189220578,-25.107609554325098,0.002625512184182693,-5.197750632026087,0.0031499036709539477
