sample_id,settlement_a_mm,settlement_b_mm,settlement_c_mm,settlement_d_mm,kv_factor_a,kv_factor_b,kv_factor_c,kv_factor_d,ei_factor_s1,ei_factor_s2,ei_factor_s3,dT_s1_C,dT_s2_C,dT_s3_C,uniform_load_N_per_mm,R_a_kN,R_b_kN,R_c_kN,R_d_kN,sum_R_kN,total_udl_kN,equilibrium_err_kN,has_negative_reaction,v_A_mm,theta_A_rad,v_S1-1_6L_mm,theta_S1-1_6L_rad,v_S1-2_6L_mm,theta_S1-2_6L_rad,v_S1-3_6L_mm,theta_S1-3_6L_rad,v_S1-4_6L_mm,theta_S1-4_6L_rad,v_S1-5_6L_mm,theta_S1-5_6L_rad,v_B_mm,theta_B_rad,v_S2-1_6L_mm,theta_S2-1_6L_rad,v_S2-2_6L_mm,theta_S2-2_6L_rad,v_S2-3_6L_mm,theta_S2-3_6L_rad,v_S2-4_6L_mm,theta_S2-4_6L_rad,v_S2-5_6L_mm,theta_S2-5_6L_rad,v_C_mm,theta_C_rad,v_S3-1_6L_mm,theta_S3-1_6L_rad,v_S3-2_6L_mm,theta_S3-2_6L_rad,v_S3-3_6L_mm,theta_S3-3_6L_rad,v_S3-4_6L_mm,theta_S3-4_6L_rad,v_S3-5_6L_mm,theta_S3-5_6L_rad,v_D_mm,theta_D_rad
0,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,10.25,11.68,12.88,-61.64,1027.0123078647573,2714.32487232546,2629.9272889029016,989.5250235604548,7396.800000045247,7396.8,4.5246451918501414e-08,False,-0.20167953418465887,-0.0008259718857604,-6.480619612128647,-0.0008707578001911,-9.846485215260891,-0.0003923453905727,-10.638577943310512,0.00029839922763,-6.691372263780357,0.0008906241688266,-0.007759651065099732,0.0010734775474335,5.907893068163633,0.0005360932479927,7.1325797622435045,-4.006361074354727e-05,6.137036967359798,-0.0001677320008751,5.3153884261711015,-5.938425598409282e-05,5.078895280271875,7.251701626283016e-05,5.879298154717069,1.5509208201386856e-05,5.110104218368331,-0.0004428800137494,-0.04146577971487718,-0.0008980939509003,-5.379137754635818,-0.0006914169983353,-8.578934587912226,-0.0001228876881332,-6.8180984957391715,0.000507469181884,-2.1635743686361666,0.0008996288138983,4.238046408320914,0.0007535526758356
1,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,10.23,14.81,14.85,-61.64,1170.6678676413467,2490.486335672898,2332.058638519335,1198.3344253446335,7396.800000045393,7396.8,4.5392880565486855e-08,False,-0.1793708606384332,-0.0009048479320271,-6.698186147378823,-0.0009424577096201,-11.591108371017372,-0.000444116889488,-12.720942773798715,0.0002793084129012,-7.912291568490929,0.0009169663119532,-0.7760718049079227,0.0011580049220841,6.045249542976449,0.0006915581278344,8.590757490338461,4.77938045162736e-05,7.81936959969581,-0.0001368888358761,6.800483496717595,-7.496212692533937e-05,6.72668088602991,2.11113237016454e-05,6.6031662387628485,-6.113109165909167e-05,5.238054546093899,-0.0005341617065876,-0.40756299030104326,-0.0009182065842692,-5.587777659038686,-0.0006676276739564,-8.985778151079883,-8.246350772838603e-05,-6.652060505315353,0.0005372611165937,-1.9532205336083048,0.000891521401191,3.6220013586781477,0.0006802788139893
2,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,10.07,13.74,12.5,-61.64,1098.1121126863347,2843.697350986294,2781.5806622649607,1186.5139954044334,7396.800000050925,7396.8,5.092533683637158e-08,False,-0.17927442555949408,-0.0009043102069115,-6.444109021778754,-0.0009371533475441,-11.75502881058758,-0.0004373126165254,-12.790288337090743,0.0002843458706819,-7.224588439529541,0.0009169702284829,-0.7243899158297178,0.0011497085712941,6.0979177101431095,0.0006716947836563,7.914023638675714,5.160575428790236e-05,7.190063599140226,-0.0001208579041987,7.065460648970984,-5.8168525386037406e-05,6.930513935769389,2.7211283059690352e-05,6.908193217562921,-7.71810865240938e-05,4.846030991585053,-0.0005838179677178,-0.7619613290391245,-0.0009801819450375,-6.075022159794311,-0.0007225913889759,-10.120875822429943,-0.0001110848316111,-8.020845133481432,0.0005543129292361,-2.9650261452883937,0.0009735770957477,3.879194158259417,0.0008466691358506
3,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,10.03,6.72,7.62,-61.64,1133.4963710941252,2482.714169748536,2378.045957699702,1090.5749713031908,7396.800000013805,7396.8,1.3805220078211278e-08,False,-0.18353370487440307,-0.0007379178523727,-5.579636018214151,-0.0007834312183873,-9.095363821846606,-0.000324801163519,-8.694210389335348,0.000327106196769,-5.477567956140727,0.0008614389768879,1.1116350196479792,0.0009673452912575,5.777090464242818,0.0003339590244211,6.262410714361617,-0.0001352308633673,4.75337379948691,-0.0001825134498947,4.143278262174947,-2.0361068744084315e-05,4.888866489093863,0.0001387636724175,5.400482371640056,8.239816592477324e-05,4.710090534590955,-0.0004019299218035,-0.13480996005419368,-0.0009543438689128,-6.052936414255135,-0.0007889396517703,-10.012863792084506,-0.0002057558024543,-8.604247511015334,0.0004951828812146,-3.799867223972462,0.0010138516014188,3.373892108463278,0.0010502118260857
4,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.64,7.38,8.04,-61.64,1059.3116957492161,2413.921001256458,2746.5364740368045,1136.2886340664215,7396.800000027235,7396.8,2.7234818844590336e-08,False,-0.17337453956764085,-0.0007865842405515,-5.822054862371577,-0.0008163475645214,-9.4634079871155,-0.0003416673835193,-10.73869858323418,0.0003265901869903,-5.62894114376809,0.000877573261418,0.6612995548973857,0.0010004299541816,5.917945935216331,0.0003842941498243,6.581765552921135,-0.0001079549867703,4.7657691476259165,-0.0001740765554633,4.734424715848104,-2.6542889838179257e-05,5.016872656396224,0.0001221834024387,5.349932845864722,5.9639713702170594e-05,5.519076959302984,-0.0004266462896291,-0.2444710098861801,-0.0009614896549218,-6.6266927432279585,-0.0007847640526561,-9.758788765953767,-0.0001965080149103,-9.206438108445317,0.0005032536604932,-3.6219350089322444,0.0010144961757381,3.721866671406305,0.001037180998752
5,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.62,7.62,8.01,-61.64,1061.0886007790957,2623.037863294081,2581.5580624507697,1104.3885744081617,7396.800000036967,7396.8,3.6966412153560675e-08,False,-0.17934898095832874,-0.0007955234308509,-5.7143681340094945,-0.0008239402372953,-10.258177876533972,-0.0003468205037108,-10.273998597496208,0.0003249696544422,-6.232428537053539,0.0008805783515727,0.6093981988583068,0.0010091537020994,5.596873729608515,0.000399829590565,6.522498795413137,-9.755289378195116e-05,4.971956078910846,-0.0001688393828171,4.505954615091066,-2.6502210123264333e-05,5.0444803924246315,0.0001169960166322,5.578431751391251,4.919268978492846e-05,4.981957866201601,-0.0004423845242454,-0.34162785515989025,-0.0009704708015139,-6.393764832337916,-0.0007879984908658,-9.756129454584864,-0.0001950061243783,-9.016828470821356,0.0005084815001266,-3.871854226015293,0.0010224395848321,3.6877762205132716,0.0010468295976663
6,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,8.76,6.32,7.75,-61.64,1030.5541795963882,2736.9807779606904,2714.0987247998464,1159.4758225815106,7396.800000018891,7396.8,1.8891114450525492e-08,False,-0.1764896352704321,-0.0008307617562353,-6.129499336590255,-0.0008304621351878,-10.184749711580642,-0.0003359931191315,-9.613341186197271,0.0003417791764717,-6.054960655186105,0.0008920028660313,0.7848162023681199,0.0010038260639663,5.843157336115603,0.0003663826548192,6.4010919956907095,-0.0001241608770881,5.5104973668451285,-0.0001856992285052,4.60128098871977,-3.0704733014455194e-05,4.721930942588994,0.0001283600017169,5.341243908026117,7.903236802319212e-05,4.739915160557524,-0.0003911599676766,-0.07900047217084376,-0.0009465931616532,-6.577031115142216,-0.0007846046919471,-9.797894261823263,-0.0002052330906369,-8.419418635623177,0.000491496844456,-3.4268545174210274,0.0010055603155148,3.7037567231155197,0.0010369187904666
7,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,8.98,11.64,10.5,-61.64,1040.2494163489037,2605.7531463706487,2548.4011918490824,1047.0184621225735,7396.800000047843,7396.8,4.7843059292063124e-08,False,-0.17835956321699367,-0.000948194101482,-6.744704433216451,-0.0009446936934377,-10.49680046637271,-0.0004230223163955,-11.577096640492655,0.0003059539141797,-7.3170763044298495,0.0009313831126947,-0.5231332256055802,0.001142413393564,5.931811582591451,0.0006281786413289,7.566669541396573,3.0070183347670324e-05,8.010683878303395,-0.0001254195419994,6.4606179847178655,-5.07628682950857e-05,6.813246867341648,4.157759679379634e-05,6.558079037789571,-6.086075439582249e-05,5.042606896877383,-0.0005705502554441,-0.8631980264177865,-0.00100284013246,-7.099451360806563,-0.0007600980397868,-9.570523403358555,-0.0001423625095023,-8.900080607174585,0.0005503416605724,-3.023746232332561,0.0010179896726202,3.7915314678522236,0.0009605429945685
8,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.72,5.81,3.86,-61.64,1010.3888902945408,2675.0537585070106,2842.513343529851,957.9184130200041,7396.799999982198,7396.8,-1.7802449292503297e-08,False,-0.17998438633917863,-0.0007651116022327,-5.915730973990418,-0.0007990359133459,-9.67722075626399,-0.0003304386937709,-8.781229092935444,0.0003298139410309,-5.482142402379055,0.0008708701054709,0.9617301785168296,0.0009818779139686,5.930025222290231,0.000351971251067,6.736113473783102,-9.646068483210996e-05,5.00075956714695,-0.000140966963846,4.769643009334528,5.980080443113582e-06,4.996239597456936,0.0001319178403685,6.684362048048876,2.4383708265748947e-05,4.6028747786214925,-0.0005290946494465,-0.9845731266583114,-0.0010793765876424,-8.151041712564055,-0.0008848825450262,-11.951976697423829,-0.000245651053677,-10.597976643711725,0.0005382930885844,-4.987853714785982,0.001166925083943,3.4180108771330495,0.0013402064003276
9,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.42,10.05,9.48,-61.64,1030.089654631741,2622.411178797885,2598.4921338249555,993.8876819283427,7396.800000035812,7396.8,3.581226337701082e-08,False,-0.1847449844367531,-0.0008725391855037,-6.864831015259217,-0.0008885379640654,-10.720684950156532,-0.0003901641468369,-10.502927185318704,0.0003117161507191,-7.00604608615995,0.0009062510430125,-0.016408675963289442,0.0010825886444595,6.1242609023294,0.0005298628396018,7.194365688661076,-2.4056343498701178e-05,6.469105947588852,-0.0001430246699146,5.721521995108696,-3.9514473228075726e-05,5.94802777591994,7.401163889383017e-05,6.514555097697018,-1.4908941212672291e-05,4.681827261054911,-0.0005187485471279,-0.6740722164839326,-0.0009899560358921,-6.119449718887912,-0.0007716374437398,-9.626162358784821,-0.0001638313027497,-9.376543502949547,0.0005334375892574,-3.32096185297273,0.0010201444344646,3.6047398639232853,0.0009962507007993
