sample_id,settlement_a_mm,settlement_b_mm,settlement_c_mm,settlement_d_mm,kv_factor_a,kv_factor_b,kv_factor_c,kv_factor_d,ei_factor_s1,ei_factor_s2,ei_factor_s3,dT_s1_C,dT_s2_C,dT_s3_C,uniform_load_N_per_mm,R_a_kN,R_b_kN,R_c_kN,R_d_kN,sum_R_kN,total_udl_kN,equilibrium_err_kN,has_negative_reaction,v_A_mm,theta_A_rad,v_S1-1_6L_mm,theta_S1-1_6L_rad,v_S1-2_6L_mm,theta_S1-2_6L_rad,v_S1-3_6L_mm,theta_S1-3_6L_rad,v_S1-4_6L_mm,theta_S1-4_6L_rad,v_S1-5_6L_mm,theta_S1-5_6L_rad,v_B_mm,theta_B_rad,v_S2-1_6L_mm,theta_S2-1_6L_rad,v_S2-2_6L_mm,theta_S2-2_6L_rad,v_S2-3_6L_mm,theta_S2-3_6L_rad,v_S2-4_6L_mm,theta_S2-4_6L_rad,v_S2-5_6L_mm,theta_S2-5_6L_rad,v_C_mm,theta_C_rad,v_S3-1_6L_mm,theta_S3-1_6L_rad,v_S3-2_6L_mm,theta_S3-2_6L_rad,v_S3-3_6L_mm,theta_S3-3_6L_rad,v_S3-4_6L_mm,theta_S3-4_6L_rad,v_S3-5_6L_mm,theta_S3-5_6L_rad,v_D_mm,theta_D_rad
0,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.75,10.43,11.02,-61.64,1093.479371703139,2636.5404145352363,2541.6810560045988,1125.0991578026485,7396.800000045622,7396.8,4.5622073230333626e-08,False,-0.17944183637689823,-0.0008447380730729339,-6.278290250825114,-0.0008729597292183487,-10.671501043410968,-0.0003848545447427787,-10.953115661542798,0.00030871136488878404,-6.789552090307536,0.0008968861140847896,0.08039218293165801,0.0010688178172621123,5.845543133185907,0.0005136403589630396,7.105846316731287,-4.429837239984483e-05,6.235535364783418,-0.00016095370842751067,5.468258467629459,-4.8797982703012837e-05,5.6212254933769445,7.9706197106789e-05,6.095205961728528,1.2096223337337465e-05,4.874531070224481,-0.0004641002375916984,-0.2573598864088614,-0.0009373507298100673,-6.115251422264579,-0.0007319036859381461,-9.174621737000816,-0.00014779763805398087,-7.91114391588996,0.0005149426160220441,-2.8006887911006695,0.0009562922784709545,3.6806779196116213,0.0008762128172196906
1,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.74,10.4,10.98,-61.64,1093.269927093232,2636.442211368839,2542.505796122406,1124.5820654406461,7396.800000025122,7396.8,2.5122062652371824e-08,False,-0.1794074661579499,-0.0008449874537110075,-6.278761126509949,-0.0008728883285990237,-10.670866748232324,-0.0003846208003499403,-10.950822028613297,0.00030894901557448965,-6.786101202612269,0.0008969692335820313,0.08344199253401502,0.001068587968090121,5.84557728196321,0.0005129391036406279,7.1028628994860785,-4.452889752818878e-05,6.2321423699340075,-0.00016087256722402188,5.466003457849673,-4.8564239029120754e-05,5.620595605597079,7.993347938924183e-05,6.09562790713395,1.2157980366922333e-05,4.87437113425747,-0.0004643630696766245,-0.26106997397182985,-0.0009380900202241822,-6.124429590688258,-0.0007327418968023838,-9.188668996357212,-0.00014835723148997124,-7.926944357069169,0.0005150391778906633,-2.8126095858123317,0.0009574225335223492,3.6807865188465256,0.0008787543033319476
2,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.73,10.34,10.9,-61.64,1092.9326970334957,2636.065745102978,2544.270418897899,1123.5311390152028,7396.800000049575,7396.8,4.957473720423877e-08,False,-0.17935212612798088,-0.0008446549482327131,-6.275439197397631,-0.0008722833744685291,-10.663312248016009,-0.0003839985002666332,-10.939769659959147,0.0003093335589047337,-6.773986352896831,0.0008968609174524483,0.09248325122556073,0.0010677316897949327,5.8457081928405925,0.0005110797604739375,7.094701007113331,-4.521889602578578e-05,6.222253291644111,-0.000160762225191752,5.4584927833720345,-4.802256060779749e-05,5.617108897056894,8.053749005907095e-05,6.0953506990531165,1.2455319144735521e-05,4.8740289335521645,-0.0004647414069319002,-0.26776118486728107,-0.0009394885028333518,-6.141713116948989,-0.0007343932256103286,-9.21567281545969,-0.00014949410734192483,-7.957681118786553,0.0005151840541506554,-2.835976612214286,0.0009596164610495084,3.681007233392186,0.0008837645812815992
3,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.72,10.25,10.78,-61.64,1092.467681477413,2635.4110156922607,2546.974924343757,1121.946378526323,7396.800000039753,7396.8,3.975310391979292e-08,False,-0.17927581627935762,-0.000843740556600956,-6.268324463260096,-0.0008711448668019906,-10.648837542448952,-0.00038298764449130825,-10.919958555311132,0.00030986499486676295,-6.753207540994611,0.0008965611656795036,0.10751595907144744,0.0010662489823638468,5.84593586583384,0.0005080623294621184,7.081360639639442,-4.6368367891353856e-05,6.205868129941967,-0.00016062268233105087,5.445726444221329,-4.717294743963061e-05,5.610765367776255,8.151822911532574e-05,6.094374337496546,1.2988239668965782e-05,4.8735044681061055,-0.00046523524935959513,-0.2774335191093106,-0.0009415461776390414,-6.167102001067936,-0.0007368576723624726,-9.255633194324227,-0.0001512082656079577,-8.003354201048229,0.0005153772448030234,-2.8707898703080024,0.0009628740610529588,3.681340063248602,0.000891243651068645
4,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.72,10.15,10.65,-61.64,1092.0361493265248,2634.522445443167,2550.0466612567193,1120.1947439895266,7396.800000015937,7396.8,1.593707565916702e-08,False,-0.17920500111483334,-0.0008417759688348324,-6.2555191062229545,-0.0008693434984916543,-10.62547390294643,-0.0003816759345464355,-10.890389152131519,0.0003103606075409026,-6.723961152289337,0.0008959142421792343,0.12773429579470855,0.0010641330837854826,5.8462448537073195,0.0005041510169014796,7.063706848707334,-4.7959644925298684e-05,6.183443344662666,-0.00016057645955372006,5.427172210954713,-4.6171760565544534e-05,5.600172994786502,8.279184437182551e-05,6.091284894951734,1.3851747593698793e-05,4.872908788081611,-0.00046546438448056643,-0.2863803954395933,-0.0009436092517437642,-6.192363340272036,-0.0007394757874535817,-9.296646276319889,-0.000153102523688308,-8.051030319108467,0.0005154857417302818,-2.9075143310576945,0.0009662642109849385,3.681707939830247,0.0008991943520022106
5,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.73,10.06,10.53,-61.64,1091.7344520313563,2633.5075961429966,2552.9814517456894,1118.5765000977765,7396.800000017819,7396.8,1.781882019713521e-08,False,-0.17915549207234394,-0.0008391990436597958,-6.239877010903552,-0.0008672806850170795,-10.598427377356556,-0.00038035545617343537,-10.857647841622594,0.000310710527409901,-6.692756191564529,0.0008950653801412695,0.14865028268127428,0.001061857216438337,5.8465977533542315,0.0005002199208430682,7.045976365481632,-4.956701327095022e-05,6.160852005802675,-0.0001605407974408429,5.408404562000246,-4.51737652492516e-05,5.589375599578009,8.407147563691068e-05,6.088066335632646,1.4732317553048461e-05,4.87233966510009,-0.00046566357308110563,-0.2945948012372084,-0.0009455067301161087,-6.215606603259336,-0.0007418900483663277,-9.334425255996635,-0.00015485205991055043,-8.094975160098938,0.0005155824374302948,-2.941378463110958,0.0009693886458379185,3.682047801838365,0.0009065280332395279
6,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.75,9.99,10.42,-61.64,1091.6275070297322,2632.3033282403417,2555.7108225890406,1117.1583421736152,7396.800000032729,7396.8,3.2729076338000596e-08,False,-0.179137942214542,-0.0008363036123619799,-6.223313141437744,-0.0008652257037890627,-10.57118985588599,-0.0003792218251576565,-10.826148670049832,0.0003108419080667617,-6.663946706107687,0.0008941136102918328,0.16727941149050068,0.0010597413959355928,5.847016520670288,0.000496859149540089,7.031464177171494,-5.0798518582908255e-05,6.143344169928067,-0.00016032097632562206,5.395316789528165,-4.4180557271111154e-05,5.5836040043801125,8.516013091373629e-05,6.087987434486434,1.5238480564238321e-05,4.871810377684895,-0.00046641784190059606,-0.3050438345639036,-0.0009475558148896986,-6.2411560852509105,-0.0007441985280117497,-9.373353082190116,-0.00015638451334519383,-8.138656418814078,0.0005158614312887064,-2.9742854354522685,0.0009725145080721738,3.682345641986189,0.0009135361849324649
7,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.78,9.96,10.34,-61.64,1091.8116657516953,2631.0172035580617,2557.7305958275097,1116.2405349099972,7396.800000047264,7396.8,4.726371116703376e-08,False,-0.17916816297600213,-0.0008335275336403105,-6.2086813822731,-0.0008635799702656299,-10.548967386116072,-0.00037856712723391786,-10.802478028355578,0.0003106448799866331,-6.644041700521236,0.0008932041658056381,0.1791337035848415,0.00105825884464038,5.847463752536325,0.0004949428010329943,7.024407014885778,-5.122844700755762e-05,6.136792906976545,-0.00015983423678751714,5.393483371925537,-4.3346901891490237e-05,5.586902030664292,8.577095001337319e-05,6.093032155722979,1.5056711263601845e-05,4.871418697470653,-0.00046796195172188617,-0.3177204827744567,-0.0009495855110332756,-6.2671212549259625,-0.0007460437038736207,-9.40914294943797,-0.0001573750623212016,-8.176339782383112,0.0005163956158025342,-3.001463716728976,0.0009752435326800398,3.6825383989749647,0.000919130156238257
8,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.82,9.95,10.27,-61.64,1092.1905767396197,2629.541660269949,2559.5449494091517,1115.5228136139674,7396.800000032687,7396.8,3.268723958171904e-08,False,-0.1792303429176234,-0.0008304329487795056,-6.193127848863466,-0.0008619420689792402,-10.526553920340037,-0.0003780992766674117,-10.780049525487557,0.00031022931269020655,-6.62653217013093,0.0008921918135014871,0.18870113763105786,0.0010569363401837881,5.847976852072671,0.0004935967772791637,7.020568147512289,-5.12825123988136e-05,6.13532514700524,-0.00015916333824727663,5.397329830799345,-4.251803384992249e-05,5.595225856956935,8.61907931255138e-05,6.101216535133633,1.450053501505021e-05,4.871066852824911,-0.00047006114176191663,-0.33263175851410326,-0.0009517668135787927,-6.295392643609246,-0.0007477830984684252,-9.446081663207185,-0.0001581485285096162,-8.213759563679405,0.0005171120984752393,-3.0276848382941446,0.0009779739846693116,3.6826891341034464,0.0009243985979996682
9,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.85,9.96,10.22,-61.64,1092.5841800417188,2628.353738710461,2560.7399825342977,1115.122098712337,7396.799999998814,7396.8,-1.1859810911118984e-09,False,-0.1792949338931465,-0.0008286074894021892,-6.184691880573771,-0.0008611677360645927,-10.515632412278936,-0.0003780783231366477,-10.77067251660726,0.00030979463391892604,-6.620744718837981,0.0008915992495102525,0.19083895348011312,0.0010564836380557905,5.848389935176568,0.0004935816840974098,7.023161069175923,-5.0681915693040366e-05,6.142833545610901,-0.00015835773991351064,5.409751423006284,-4.191812214634123e-05,5.609820437702953,8.617432994070707e-05,6.112505977636182,1.3457008683734303e-05,4.87083510857681,-0.00047254241949914885,-0.34826498583453963,-0.0009538572193089299,-6.3228463115356695,-0.0007491900634658828,-9.479824271103686,-0.00015857948404888211,-8.246309152736682,0.0005179497211208133,-3.0496089915256177,0.0009803727542257712,3.682773291857321,0.0009286510831931763
