sample_id,settlement_a_mm,settlement_b_mm,settlement_c_mm,settlement_d_mm,kv_factor_a,kv_factor_b,kv_factor_c,kv_factor_d,ei_factor_s1,ei_factor_s2,ei_factor_s3,dT_s1_C,dT_s2_C,dT_s3_C,uniform_load_N_per_mm,R_a_kN,R_b_kN,R_c_kN,R_d_kN,sum_R_kN,total_udl_kN,equilibrium_err_kN,has_negative_reaction,v_A_mm,theta_A_rad,v_S1-1_6L_mm,theta_S1-1_6L_rad,v_S1-2_6L_mm,theta_S1-2_6L_rad,v_S1-3_6L_mm,theta_S1-3_6L_rad,v_S1-4_6L_mm,theta_S1-4_6L_rad,v_S1-5_6L_mm,theta_S1-5_6L_rad,v_B_mm,theta_B_rad,v_S2-1_6L_mm,theta_S2-1_6L_rad,v_S2-2_6L_mm,theta_S2-2_6L_rad,v_S2-3_6L_mm,theta_S2-3_6L_rad,v_S2-4_6L_mm,theta_S2-4_6L_rad,v_S2-5_6L_mm,theta_S2-5_6L_rad,v_C_mm,theta_C_rad,v_S3-1_6L_mm,theta_S3-1_6L_rad,v_S3-2_6L_mm,theta_S3-2_6L_rad,v_S3-3_6L_mm,theta_S3-3_6L_rad,v_S3-4_6L_mm,theta_S3-4_6L_rad,v_S3-5_6L_mm,theta_S3-5_6L_rad,v_D_mm,theta_D_rad
0,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.94,10.16,10.27,-61.64,1094.5337522195025,2626.055010649541,2559.4887221836575,1116.722514969679,7396.80000002238,7396.8,2.2379936126526445e-08,False,-0.1796148620241966,-0.0008266282045398895,-6.182177928677221,-0.0008620510597766742,-10.524452694681393,-0.0003803494725728113,-10.795163261968469,0.0003076104416094455,-6.655410270143243,0.000890976797178259,0.1613261389146097,0.0010588977085513747,5.8491892857017245,0.0005005070602706891,7.063422184050853,-4.579885004787682e-05,6.208339271574857,-0.00015569750971928698,5.485081107308535,-4.166125232614389e-05,5.678349928109747,8.384731446476036e-05,6.156407622432272,8.36558298949998e-06,4.871077756569603,-0.0004805787803327761,-0.3861932472260218,-0.0009574668797862896,-6.373329116515675,-0.0007495415145605614,-9.525035193698642,-0.00015684121673435113,-8.276211706798845,0.0005206092158702442,-3.061956630735965,0.000982784985436244,3.682437173991641,0.0009296475598904595
1,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.95,10.15,10.28,-61.64,1094.5337522242253,2626.0550106459036,2559.488722194063,1116.7225149696978,7396.80000003389,7396.8,3.388959157746285e-08,False,-0.1796148620249716,-0.0008254282045425438,-6.175511262028845,-0.0008612510597792499,-10.513786028046166,-0.00037994947257379377,-10.783163261998748,0.00030761044161054684,-6.644743603495611,0.0008905767971802684,0.1679928055749963,0.0010580977085530177,5.849189285702989,0.0004993070602712246,7.056755517385759,-4.6598850048219006e-05,6.197672604906615,-0.0001560975097196829,5.4730811073049574,-4.166125232628386e-05,5.667683261440283,8.424731446512746e-05,6.149740955764801,9.165582989625001e-06,4.871077756567585,-0.00047937878033323556,-0.379526580562273,-0.0009566668797860627,-6.362662449850079,-0.0007491415145604041,-9.513035193699052,-0.0001568412167342451,-8.265545040131938,0.0005202092158703437,-3.0552899640691957,0.0009819849854361602,3.682437173991637,0.0009284475598904831
2,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.97,10.14,10.29,-61.64,1094.61541135786,2625.8749506811255,2559.6038647206183,1116.7057732682915,7396.800000027895,7396.8,2.7895111998077482e-08,False,-0.17962826242855998,-0.0008233969377789177,-6.1645809148171296,-0.0008599889068797008,-10.496833451427179,-0.0003793946612754435,-10.764698159124881,0.0003075196835652097,-6.6288638624596,0.0008899022420508946,0.17760111174411503,0.001056901128598828,5.849251899036794,0.0004976502277514534,7.047893792864482,-4.762779828747882e-05,6.1839028496811155,-0.00015654945009457573,5.4580804524157225,-4.158706125327185e-05,5.654789661815594,8.479676056857403e-05,6.141953190218159,1.0139407706761939e-05,4.8710554277988845,-0.00047803145342001173,-0.37213094967587856,-0.0009557867815694906,-6.350922972620319,-0.0007487164216407105,-9.49994449410759,-0.00015685890571223314,-8.254014252831924,0.0005197609683942381,-3.048148734383135,0.000981118402861195,3.682440690067482,0.0009271748656156473
3,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.98,10.1,10.3,-61.64,1094.420659083714,2626.0643692981,2559.8092843896093,1116.5056873007516,7396.800000072175,7396.8,7.217477104859427e-08,False,-0.17959630324705578,-0.0008213154439061566,-6.152169355660413,-0.0008583810746363148,-10.47569111401538,-0.0003784078139183177,-10.739456020223312,0.00030773822277880425,-6.6051350538810985,0.0008892051498642204,0.1932213031441447,0.0010551410817559409,5.849186031362611,0.0004946799029959331,7.0313421646099075,-4.960366132075688e-05,6.157486013360204,-0.00015753360909631482,5.42840057593443,-4.158227391488495e-05,5.6284305284727925,8.578773655666227e-05,6.125480198711193,1.2113814654516213e-05,4.871015592228026,-0.000475076373201768,-0.35656298881645393,-0.0009540351751674193,-6.327283420281605,-0.0007480222029077315,-9.474795647589051,-0.00015707598849974916,-8.232944501771845,0.000518778670235643,-3.035772560761452,0.0009795169754797347,3.682482711927766,0.0009251003951600782
4,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.98,10.05,10.28,-61.64,1094.1295553433033,2626.1462260729463,2560.518881975677,1116.0053366402124,7396.800000032139,7396.8,3.2138814276549965e-08,False,-0.17954853262503287,-0.0008199960913153707,-6.143570578600927,-0.0008571718269210842,-10.460009395514922,-0.00037752888082443837,-10.71962749022229,0.0003080666315114939,-6.585563907260131,0.0008887628244940662,0.20666280656237077,0.001053707812541747,5.849157566814292,0.0004920354801966722,7.01722047190614,-5.120523820970531e-05,6.135862773750874,-0.00015820052751957142,5.405146221046941,-4.1422721315668407e-05,5.608694240312447,8.666557273505942e-05,6.113689909658614,1.3601746967535168e-05,4.870877985030721,-0.0004730865321989048,-0.3476687072591186,-0.000953254563797422,-6.316201065925215,-0.0007480855066914382,-9.465933606529775,-0.00015761789295874447,-8.228275730250413,0.0005181234795797956,-3.034834585159538,0.0009791138131061312,3.682587795086813,0.0009253145755472512
5,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.97,9.98,10.25,-61.64,1093.6436993332989,2626.417501465061,2561.4338992148096,1115.304900012104,7396.800000025274,7396.8,2.5273948267567903e-08,False,-0.17946880282225283,-0.0008189952448630542,-6.13589357578424,-0.0008559547469693832,-10.444518673024474,-0.00037646310037424765,-10.698556821403661,0.0003086135794601458,-6.563597285452631,0.00088842340694204,0.22239116802149567,0.0010521144964893915,5.849063234591688,0.000488820732644613,6.999880484292421,-5.31826781307964e-05,6.1091560311698325,-0.0001590516049444453,5.37621198969326,-4.125838137815623e-05,5.583932152154998,8.773438490073255e-05,6.098759962438645,1.5464086227609847e-05,4.870700542265646,-0.0004705416109781533,-0.3365397981794439,-0.0009523223460267698,-6.302812492573791,-0.0007482545917426861,-9.455922718960716,-0.00015837688020443652,-8.223870541005216,0.0005172859907659554,-3.03485376926969,0.000978709223351303,3.6827349001061505,0.0009258542854788038
6,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.96,9.89,10.18,-61.64,1093.0949752819467,2626.347374198669,2563.220325900052,1114.137324643076,7396.800000023744,7396.8,2.3744178179185838e-08,False,-0.17937875626628952,-0.0008177063435722531,-6.126338732252059,-0.0008544733909117872,-10.425599635630334,-0.00037520438001829913,-10.67314146305812,0.0003092345736446195,-6.5373207488643175,0.0008879915844856883,0.24112647035140955,0.0010502147669233441,5.8490876203675315,0.0004850380054994285,6.980657008754669,-5.5227637076824534e-05,6.081203261705717,-0.00015967876187332448,5.3479153858086494,-4.078770247269527e-05,5.561544065467984,8.898293345744702e-05,6.086399636681619,1.717053825264813e-05,4.870354113283681,-0.00046869722166785927,-0.3313591105002782,-0.0009523665225852293,-6.3018535722887865,-0.0007493348676488511,-9.463251339982339,-0.0001596407889365476,-8.237869367099023,0.0005166909157300969,-3.048222354056021,0.0009796354485330028,3.682980113149481,0.0009291542773996148
7,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.92,9.78,10.08,-61.64,1092.221664092301,2626.5929446017562,2565.349118677339,1112.6362726613957,7396.800000032792,7396.8,3.279183147242293e-08,False,-0.17923544440540415,-0.0008185482858286446,-6.1272090679143645,-0.0008540456477843189,-10.421221147025536,-0.00037416758073672413,-10.661655873252268,0.00031021979985155297,-6.521273975790408,0.0008882646083872915,0.25478431388903705,0.0010491149592891053,5.849002226695262,0.0004819047370990579,6.9649585972658725,-5.6832367743277745e-05,6.0590002095165,-0.00016007951713935018,5.3261523211425565,-4.030904467175011e-05,5.545001867663977,9.001644199301927e-05,6.077695436195692,1.8434335190386094e-05,4.869941291688066,-0.0004675276986605814,-0.3313429325020751,-0.0009532246884750077,-6.31127317589048,-0.0007511247789998662,-9.484665216808269,-0.00016126650231348497,-8.266529719203302,0.0005163253437630135,-3.0720750939169883,0.0009816259614123307,3.683295362626636,0.0009345968185610282
8,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.87,9.66,9.96,-61.64,1091.2352597515508,2626.847873621989,2567.798473644287,1110.9183930106865,7396.800000028513,7396.8,2.85126589005813e-08,False,-0.17907357376486463,-0.0008200774674436603,-6.131404163843884,-0.0008539479195108989,-10.421414411019102,-0.0003731891228005722,-10.654463041645856,0.0003113328072243299,-6.508285319758053,0.0008887659849713766,0.26700398833399885,0.0010482585248576923,5.848913578694803,0.0004789443114258796,6.950513499689836,-5.824190968275276e-05,6.039277232459364,-0.00016031637178390778,5.307708725107997,-3.9751408460513133e-05,5.5318736035568215,9.099037262010984e-05,6.071397145322241,1.9446363793399925e-05,4.869466305754034,-0.00046685576852180605,-0.3350298294260952,-0.0009546511497468118,-6.3279804165964055,-0.0007533953786986208,-9.515839547529138,-0.00016312698745527674,-8.30525619961409,0.0005161292261617574,-3.103077097136092,0.0009843484643351163,3.6836561500399374,0.0009414921949919323
9,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.81,9.55,9.82,-61.64,1090.2655971121196,2626.9858822096544,2570.4314443443386,1109.117076335982,7396.800000002095,7396.8,2.0945662981830537e-09,False,-0.1789144504661648,-0.0008228815509842456,-6.142753948283824,-0.0008547187609119977,-10.43316320799599,-0.00037266023777976064,-10.660391060731772,0.0003124279029516043,-6.507062875296837,0.000889693775688963,0.2718164772272227,0.0010482854948506031,5.848865588139112,0.00047733694497906085,6.943911690397009,-5.867235420542235e-05,6.032534443630092,-0.00015999988647000094,5.30437118203,-3.911798539684111e-05,5.532620917605694,9.151074134657276e-05,6.074042313959753,1.942368609577592e-05,4.8689557125308704,-0.0004678514847303022,-0.3483539973991885,-0.0009572803106688657,-6.360623884852609,-0.0007563428125669791,-9.56554022982079,-0.00016507752250340704,-8.360984197925285,0.0005164907616981997,-3.1450347016832665,0.000988337242222272,3.684034460815861,0.0009504233869960599
